指标,乡村人口(万人),女性人口(万人),男性人口(万人),城镇人口(万人),年末总人口(万人),人口出生率(‰),人口死亡率(‰),人口自然增长率(‰),年末总人口(万人),0-14岁人口(万人),15-64岁人口(万人),65岁及以上人口(万人),总抚养比(%),少儿抚养比(%),老年抚养比(%),卫生总费用(亿元),政府卫生支出(亿元),社会卫生支出(亿元),个人现金卫生支出(亿元),人均卫生费用(元),城市人均卫生费用(元),农村人均卫生费用(元),医疗卫生机构数(个),医院数(个),综合医院数(个),中医医院数(个),专科医院数(个),基层医疗卫生机构(个),社区卫生服务中心(站)数(个),街道卫生院数(个),乡镇卫生院数(个),村卫生室数(个),门诊部(所)数(个),专业公共卫生机构数(个),疾病预防控制中心数(个),专科疾病防治院(所/站)数(个),妇幼保健院(所/站)数(个),卫生监督所(中心)数(个),卫生人员数(万人),卫生技术人员数(万人),执业(助理)医师数(万人),执业医师数(万人),注册护士数(万人),药师数(万人),乡村医生和卫生员数(万人),其他技术人员数(万人),管理人员数(万人),工勤技能人员数(万人),每万人拥有卫生技术人员数(人),每万人拥有城市卫生技术人员数(人),每万人拥有农村卫生技术人员数(人),每万人拥有执业(助理)医师数(人),每万人拥有城市执业(助理)医师数(人),每万人拥有农村执业(助理)医师数(人),每万人拥有注册护士数(人),每万人拥有城市注册护士数(人),每万人拥有农村注册护士数(人),劳动力(万人),就业人员(万人),城镇就业人员(万人),乡村就业人员(万人),商品房平均销售价格(元/平方米),住宅商品房平均销售价格(元/平方米),别墅、高档公寓平均销售价格(元/平方米),办公楼商品房平均销售价格(元/平方米),商业营业用房平均销售价格(元/平方米),其他商品房平均销售价格(元/平方米),居民消费价格指数(上年=100),城市居民消费价格指数(上年=100),农村居民消费价格指数(上年=100),商品零售价格指数(上年=100),工业生产者出厂价格指数(上年=100),工业生产者购进价格指数(上年=100),固定资产投资价格指数(上年=100),居民人均可支配收入(元),居民人均可支配收入比上年增长(%),居民人均可支配收入中位数(元),居民人均可支配收入中位数比上年增长(%),居民人均可支配工资性收入(元),居民人均可支配工资性收入比上年增长(%),居民人均可支配经营净收入(元),居民人均可支配经营净收入比上年增长(%),居民人均可支配财产净收入(元),居民人均可支配财产净收入比上年增长(%),居民人均可支配转移净收入(元),居民人均可支配转移净收入比上年增长(%),各项税收(亿元),国内增值税(亿元),营业税(亿元),国内消费税(亿元),关税(亿元),个人所得税(亿元),企业所得税(亿元),普通高等学校招生数(万人),普通中学招生数(万人),普通高中招生数(万人),初中招生数(万人),职业中学招生数(万人),普通小学招生数(万人),特殊教育学校招生数(万人),普通高等学校毕业生数(万人),普通中学毕业生数(万人),普通高中毕业生数(万人),初中毕业生数(万人),职业中学毕业生数(万人),普通小学毕业生数(万人),特殊教育学校毕业生数(万人),小学生师比(教师人数=1),初中生师比(教师人数=1),普通高中生师比(教师人数=1),职业高中生师比(教师人数=1),普通中专生师比(教师人数=1),普通高校生师比(教师人数=1),本科院校生师比(教师人数=1),专科院校生师比(教师人数=1),教育经费(万元),国家财政性教育经费(万元),国家财政预算内教育经费(万元),各类学校教育经费社会捐赠经费(万元),各类学校教育经费学杂费(万元),其他教育经费(万元)
2002年,78241,62338,66115,50212,128453,12.86,6.41,6.45,128453,28774,90302,9377,42.2,31.9,10.4,5790.03,908.51,1539.38,3342.14,450.75,987.07,259.33,1005004,17844,12716,2492,2237,973098,8211,1022,44992,698966,219907,10787,3580,1839,3067,571,652.9,427,184.4,146.4,124.7,35.77,129.06,18,33.26,45.57,,,,,,,,,,,73280,25159,48121,,,,,,,99.2,99,99.6,98.7,97.8,97.7,100.2,4532,12.2,,,2698,19.7,1067,2.8,84,-10.9,683,-0.1,17636.45,6178.39,2450.33,1046.32,704.27,1211.78,3082.79,320.5,2929,676.7,2281.8,216.88,1952.8,5.3,133.7,2263.63,383.8,1903.7,145.43,2351.9,4.4,,,,,,,,,,,,,,
2003年,76851,62671,66556,52376,129227,12.41,6.4,6.01,129227,28559,90976,9692,42,31.4,10.7,6584.1,1116.94,1788.5,3678.67,509.5,1108.91,274.67,806243,17764,12599,2518,2271,774693,10101,925,44279,514920,204468,10792,3584,1749,3033,838,621.7,438.1,194.2,153.4,126.6,35.74,86.78,19.93,31.87,45.03,34,0,0,15,0,0,10,0,0,74492,73736,26230,47506,2250,2092,4154,4336,3488.57,1918.83,101.2,100.9,101.6,99.9,102.3,104.8,102.2,5007,9.2,,,3061,13.5,1122,5.2,119,41.5,705,3.2,20017.31,7236.54,2844.45,1182.26,923.13,1418.03,2919.51,382.2,2947.4,752.1,2220.1,222.1,1829.4,4.9,187.7,2453.7,458.1,2018.5,135.5,2267.9,4.5,21.04,19.25,17.8,,,19,,,,,,,,
2004年,75705,63012,66976,54283,129988,12.29,6.42,5.87,129988,27947,92184,9857,41,30.3,10.7,7590.29,1293.58,2225.35,4071.35,583.92,1261.93,301.61,849140,18393,12900,2611,2492,817018,14153,845,41626,551600,208794,10878,3588,1583,2998,1284,633.3,448.6,199.9,158.2,130.8,35.55,88.31,20.94,31.56,43.87,35,49,23,15,21,10,10,16,5,74911,74264,27293,46971,2359,2197,4145,4196,3675.14,2240.74,103.9,103.3,104.8,102.8,106.1,111.4,105.6,5661,8.8,,,3452,12.8,1277,13.8,151,27.2,781,10.8,24165.68,9017.94,3581.97,1501.9,1043.77,1737.06,3957.33,447.3,2899.7,821.5,2094.6,229.1,1747,5.1,239.1,2617.4,546.9,2087.3,142.5,2135.2,4.7,20.5,19.13,18.35,,,17,,,54800278,34914048,,1272791,9227792,2278722
2005年,74544,63381,67375,56212,130756,12.4,6.51,5.89,130756,26504,94197,10055,38.8,28.1,10.7,8659.91,1552.53,2586.41,4520.98,662.3,1126.36,315.83,882206,18703,12982,2620,2682,849488,17128,787,40907,583209,207457,11177,3585,1502,3021,1702,644.72,456.41,204.21,162.27,134.96,34.95,91.65,22.57,31.28,42.81,35,50,22,16,22,10,10,16,5,75290,74647,28389,46258,2778,2608,5576,5744,3884,2235,101.8,101.6,102.2,100.8,104.9,108.3,101.6,6385,10.8,,,3859,11.8,1410,10.4,193,27.7,923,18.1,28778.54,10792.11,4232.46,1633.81,1066.17,2094.91,5343.92,504.5,2854.2563,877.7,1987.6,259.2697,1671.7,4.9,306.8,2768.0863,661.6,2123.4,169.9992,2019.5,4.3,19.98,18.65,18.65,19.1,28.13,16.22,17.44,13.15,62082653,38506237,,1045927,11214985,2721943
2006年,73160,63720,67728,58288,131448,12.09,6.81,5.28,131448,25961,95068,10419,38.3,27.3,11,9843.34,1778.86,3210.92,4853.56,748.84,1248.3,361.89,918097,19246,13120,2665,3022,884818,22656,816,39975,609128,212243,11269,3548,1402,3003,2097,668.1,472.8,209.9,167.8,142.6,35.36,95.75,23.55,32.37,43.62,35,58,27,16,25,13,10,21,7,76120,74978,29630,45348,3167.66,2936.96,5833.95,6922.52,5021.75,2829.35,101.5,101.5,101.5,101,103,106,101.5,7229,11.5,,,4426,14.7,1511,7.2,260,34.7,1032,11.8,34804.35,12784.81,5128.71,1885.69,1141.78,2453.71,7039.6,546.1,2794.8,871.2,1929.5,294,1729.4,5,377.5,2789.5,727.1,2071.6,179.5,1928.5,4.5,19.43,17.8,18.54,20.62,31.02,16.85,17.75,14.78,72425989,44658575,,934204,13465517,3240414
2007年,71496,64081,68048,60633,132129,12.1,6.93,5.17,132129,25660,95833,10636,37.9,26.8,11.1,11573.97,2581.58,3893.72,5098.66,875.96,1516.29,358.11,912263,19852,13372,2720,3282,878686,27069,803,39876,613855,197083,11528,3585,1365,3051,2553,696.4,491.3,212.3,171.5,155.9,32.52,93.18,24.35,35.66,51.94,36,61,27,16,26,13,11,22,7,76315,75321,30953,44368,3366.79,3119.25,6584.93,8052.78,5246.62,3131.31,104.8,104.5,105.4,103.8,103.1,104.4,103.9,8584,13.3,,,5222,18,1711,13.2,402,54.8,1248,21,45621.97,15470.23,6582.17,2206.83,1432.57,3185.58,8779.25,565.9,2703.9143,840.2,1868.5,306.9298,1736.1,6.3,447.8,2745.1571,788.3,1963.7,197.7467,1870.2,5,19.17,17.15,18.13,22.16,31.67,17.93,17.61,18.26,84188391,51610759,,931613,15530545,3723842
2008年,70399,64445,68357,62403,132802,12.14,7.06,5.08,132802,25166,96680,10956,37.4,26,11.3,14535.4,3593.94,5065.6,5875.86,1094.52,1861.76,455.19,891480,19712,13119,2688,3437,858015,24260,780,39080,613143,180752,11485,3534,1310,3011,2675,725.2,517.4,220.2,179.2,167.8,33.05,93.83,25.51,35.69,52.7,37,64,27,16,26,12,12,24,7,76531,75564,32103,43461,3863.9,3645.18,7471.25,8667.02,5773.83,3351.44,105.9,105.6,106.5,105.9,106.9,110.5,108.9,9957,9.5,,,5841,11.8,2082,21.7,484,20.5,1550,24.2,54223.79,17996.94,7626.39,2568.27,1769.95,3722.31,11175.63,607.7,2693.1726,837,1859.6,294.0872,1695.7,6.2,511.9498,2698.9536,836.1,1868,216.6924,1865,5.2,18.82,16.52,17.48,23.5,31.39,17.28,17.31,17.2,98153087,63483648,,899078,15523301,4206736
2009年,68938,64803,68647,64512,133450,11.95,7.08,4.87,133450,24659,97484,11307,36.9,25.3,11.6,17541.92,4816.26,6154.49,6571.16,1314.49,2176.63,561.99,916571,20291,13364,2728,3716,882153,27308,1152,38475,632770,182448,11665,3536,1291,3020,2809,778.1,553.5,232.9,190.5,185.5,34.19,105.1,27.5,36.27,55.77,39,67,28,17,27,13,13,25,8,77046,75828,33322,42506,3800,3576,7801,8378,5886,3219,99.3,99.1,99.7,98.8,94.6,92.1,97.6,10977,11,,,6481,11,2154,3.5,589,21.6,1754,13.2,59521.59,18481.22,9013.98,4761.22,1483.81,3949.35,11536.84,639.5,2616.7296,830.3,1788.5,315.2346,1637.8,6.4,531.1,2618.4474,823.7,1797.7,232.128,1805.2,5.7,18.38,16.07,16.78,23.47,31.27,17.23,17.21,17.27,121480663,82802142,,930584,21309082,5166242
2010年,67113,65343,68748,66978,134091,11.9,7.11,4.79,134091,22259,99938,11894,34.2,22.3,11.9,19980.39,5732.49,7196.61,7051.29,1490.06,2315.48,666.3,936927,20918,13681,2778,3956,901709,32739,929,37836,648424,181781,11835,3513,1274,3025,2992,820.75,587.62,241.33,197.28,204.81,35.39,109.19,29.02,37.05,57.88,42,72,29,17,28,13,14,28,8,77510,76105,34687,41418,4681,4459,9662,10608,6871,3671,103.3,103.2,103.6,103.1,105.5,109.6,103.6,12520,10.4,,,7320,12.9,2402,11.5,778,32.2,2019,15.1,73210.79,21093.48,11157.91,6071.55,2027.83,4837.27,12843.54,661.8,2551.7289,836.2,1716.6,279.7632,1691.7,6.5,575.4,2543.0049,794.4,1750.4,231.9823,1739.6,5.9,17.88,15.47,16.3,23.65,27.82,17.27,17.23,17.35,145007374,104496296,,1026663,23492983,5115225
2011年,64989,65755,69161,69927,134916,13.27,7.14,6.13,134916,22261,100378,12277,34.4,22.1,12.3,24345.91,7464.18,8416.45,8465.28,1804.52,2697.48,879.44,954389,21979,14328,2831,4283,918003,32860,667,37295,662894,184287,11926,3484,1294,3036,3022,861.6,620.29,246.61,202.02,224.4,36.4,112.64,30.6,37.49,60.59,44,76,30,18,30,13,15,31,9,78388,76196,36003,40193,5032,4725,10934,11406,7747,4099,105.4,105.3,105.8,104.9,106,109.1,106.6,14551,10.3,,,8313,13.6,2846,18.5,1047,34.5,2344,16.1,89738.39,24266.63,13679,6936.21,2559.12,6054.11,16769.64,681.5,2484.7887,850.8,1634.7,247.147,1736.8,6.4,608.2,2523.2,787.7,1736.7,218.9831,1662.8,4.4,17.7,14.98,15.99,23.66,26.1,17.33,17.38,17.21,165027065,122310935,,1254991,25155983,5435371
2012年,63747,66262,69660,72175,135922,14.57,7.13,7.43,135922,22427,100718,12777,34.9,22.2,12.7,28119,8431.98,10030.7,9656.32,2068.76,2999.28,1064.83,950297,23170,15021,2889,4665,912620,33562,610,37097,653419,187932,12083,3490,1289,3044,3088,911.57,667.55,261.61,213.88,249.66,37.74,109.44,31.91,37.3,65.36,46,79,32,18,30,13,17,33,10,78579,76254,37287,38967,5357.1,4993.17,10993.92,12327.28,8488.21,4182.11,102.6,102.7,102.5,102,98.3,98.2,101.1,16510,10.6,,,9379,12.8,3172,11.5,1231,17.5,2727,16.3,100614.28,26415.51,15747.64,7875.58,2783.93,5820.28,19654.53,688.8,2415.4,844.6,1570.8,,1714.7,6.6,624.7,2452.3,791.5,1660.8,,1641.6,4.9,17.71,14.38,15.77,21.59,31.53,17.42,17.48,17.28,195618471,146700670,31142383,1078839,30155593,5724045
2013年,62224,66663,70063,74502,136726,13.03,7.13,5.9,136726,22423,101041,13262,35.3,22.2,13.1,31668.95,9545.81,11393.79,10729.34,2316.23,3234.12,1274.44,974398,24709,15887,3015,5127,915368,33965,593,37015,648619,195176,31155,3516,1271,3144,2967,979.05,721.06,279.48,228.58,278.31,39.56,108.11,35.98,42.1,71.81,49,85,34,19,32,14,18,36,11,78894,76301,38527,37774,5790.99,5429.93,11460.19,12306.41,9020.91,4305.73,102.6,102.6,102.8,101.4,98.1,98,100.3,18311,8.1,15632,,10411,11,3435,8.3,1423,15.6,3042,11.5,110530.7,28810.13,17233.02,8231.32,2630.61,6531.53,22427.2,699.8,,822.7,1496.1,,1695.4,6.6,638.7,,799,1561.5,,1581.1,5.1,17.36,13.59,15.47,,,17.52,17.98,17.33,238692936,185867009,34538583,1118675,33169742,6341005
2014年,60908,67124,70522,76738,137646,13.83,7.12,6.71,137646,22712,101032,13902,36.2,22.5,13.7,35312.4,10579.23,13437.75,11295.41,2565.45,3558.31,1412.21,981432,25860,16524,3115,5478,917335,34238,595,36902,645470,200130,35029,3490,1242,3098,2975,1023.42,758.98,289.25,237.49,300.41,40.96,105.82,37.97,45.13,75.53,53,92,36,20,34,15,20,40,12,79300,76349,39703,36646,6237,5850,12591,12997,9777,4907,102,102.1,101.8,101,98.1,97.8,100.5,20167,8,17570,12.4,11421,9.7,3732,8.7,1588,11.6,3427,12.6,119175.31,30855.36,17781.73,8907.12,2843.41,7376.61,24642.19,721.4,,796.6,1447.8,,1658.4,7.1,659.4,,799.6,1413.5,,1476.6,4.9,16.76,12.76,14.95,,,17.53,,,286553052,231475698,40278158,956919,35048301,6640278
2015年,59024,67469,70857,79302,138326,11.99,7.07,4.93,138326,22824,100978,14524,37,22.6,14.3,40974.64,12475.28,16506.71,11992.65,2962.18,,,983528,27587,17430,3267,6023,920770,34321,524,36817,640536,208572,31927,3478,1234,3078,2986,1069.39,800.75,303.91,250.84,324.15,42.33,103.15,39.97,47.26,78.25,56,97,38,21,35,15,22,43,13,79690,76320,40916,35404,6324,5933,12965,11826,9817,5177,101.4,101.5,101.3,100.1,94.8,93.9,98.2,21966,7.4,19281,9.7,12459,9.1,3956,6,1740,9.6,3812,11.2,124922.2,31109.47,19312.84,10542.16,2560.84,8617.27,27133.87,737.8,,796.6,1411,,1729,8.3,680.9,,797.7,1417.6,,1437.3,5.3,16.78,12.57,14.44,,,17.68,,,303647182,244882177,46656939,855445,37376869,7173384
2016年,57308,67925,71307,81924,139232,13.57,7.04,6.53,139232,23252,100943,15037,37.9,22.9,15,46344.88,13910.31,19096.68,13337.9,3328.61,,,983394,29140,18020,3462,6642,926518,34327,,36795,638763,216187,24866,3481,1213,3063,2986,1117.29,845.44,319.1,265.14,350.72,43.92,100.03,42.62,48.32,80.88,58,102,39,22,37,16,24,46,14,80091,76245,42051,34194,6793,6473,15157,12914,9566,4845,102,102.1,101.9,100.7,98.6,98,99.4,23821,6.3,20883,8.3,13455,8,4218,6.6,1889,8.6,4259,11.7,130360.73,40712.08,11501.88,10217.23,2603.75,10088.98,28851.36,748.6,,802.9,1487.2,,1752.5,9.2,704.2,,792.4,1423.9,,1507.4,5.9,17.05,12.41,14.01,,,17.73,,,328064609,264205820,57956138,796700,40530393,7477031
2017年,55668,68361,71650,84343,140011,12.64,7.06,5.58,140011,23522,100528,15961,39.3,23.4,15.9,52598.28,15205.87,22258.81,15133.6,3756.72,,,986649,31056,18921,3695,7220,933024,34652,,36551,632057,229221,19896,3456,1200,3077,2992,1174.9,898.82,339,282.9,380.4,45.3,96.86,45.15,50.91,83.16,61,104,41,23,38,16,25,48,15,79282,76058,43208,32850,7476,7203,15911,14332,9786,4832,101.6,101.7,101.3,101.1,106.3,108.1,105.8,25974,7.3,22408,7.3,14620,8.7,4502,6.7,2107,11.6,4744,11.4,144369.87,56378.18,,10225.09,2997.85,11966.37,32117.29,761.5,,800.1,1547.2,,1766.6,11.1,735.8,,775.7,1397.5,,1565.9,6.9,17.12,12.41,13.65,,,17.07,,,361291927,292214511,76549082,869960,43173611,8233597
2018年,54108,68677,71864,86433,140541,10.86,7.08,3.78,140541,23751,100065,16724,40.4,23.7,16.8,59121.91,16399.13,25810.78,16911.99,4206.74,,,997433,33009,19693,3977,7900,943639,34997,,36461,622001,249654,18033,3443,1161,3080,2949,1230.03,952.92,360.72,301.04,409.86,46.77,90.71,47.66,52.9,85.84,65,109,43,24,40,17,27,50,16,79042,75782,44292,31490,7892,7614,14965,13543,10323,5364,102.1,102.1,102.1,101.9,103.5,104.1,105.4,28228,6.5,24336,8.6,15829,8.3,4852,7.8,2379,12.9,5168,8.9,156402.86,61530.77,,10631.75,2847.78,13871.97,35323.71,790.9931,,792.7,1602.6,,1867.3,12.4,753.3,,779.2,1367.8,,1616.5,8.1,16.98,12.52,13.39,,,17.52,,,388883850,313962519,96855602,810447,47709339,9309860
2019年,52582,68969,72039,88426,141008,10.41,7.09,3.32,141008,23689,99552,17767,41.5,23.8,17.8,65841.39,18016.95,29150.57,18673.87,4669.34,,,1007579,34354,19963,4221,8531,954390,35013,,36112,616094,266659,15958,3403,1128,3071,2869,1292.83,1015.4,386.69,321.05,444.5,48.34,84.23,50.39,54.38,88.43,68,109,46,26,40,18,29,51,18,78653,75447,45249,30198,8726,8553,16252,14379,10903,5336,102.9,102.8,103.2,102,99.7,99.3,102.6,30733,5.8,26523,9,17186,8.6,5247,8.1,2619,10.1,5680,9.9,158000.46,62347.36,,12564.44,2889.13,10388.53,37303.77,914.9026,,839.4949,1638.8487,,1869.0411,14.4211,758.5298,,789.2494,1454.0936,,1647.9006,9.7587,16.97,12.79,13.1,,,17.56,,,425620069,342077546,114193032,849974,52932815,10866754
2020年,50992,68855,72357,90220,141212,8.52,7.07,1.45,141212,25277,96871,19064,45.9,26.2,19.7,72175,21941.9,30273.67,19959.43,5112.34,,,1022922,35394,20133,4426,9021,970036,35365,,35762,608828,289542,14492,3384,1048,3052,2934,1347.5,1067.8,408.57,340.17,470.87,49.68,79.55,52.96,56.12,91.07,73,111,50,28,41,20,32,52,20,78985,75064,46271,28793,9310,9287,17886,14315,10952,5074,102.5,102.3,103,101.4,98.2,97.7,,32189,2.1,27540,3.8,17917,4.3,5307,1.1,2791,6.6,6173,8.7,154312.29,56791.24,,12028.1,2564.25,11568.26,36425.81,967.4518,,876.4435,1632.0964,,1808.0902,14.9046,797.1991,,786.5315,1535.2918,,1640.3201,12.1411,16.85,12.88,12.99,,,17.95,,,461429980,369957704,134895629,947574,58958343,10735993
2021年,49835,68949,72311,91425,141260,7.52,7.18,0.34,141260,,,20056,,,,,,,,,,,1031000,37000,,,,977000,36000,,35000,599000,307000,13000,3380,,,2790,,1123,427,,502,,,,,,76,115,52,29,43,21,33,54,21,78392,74652,46773,,9860,9980,,15138,10646,4787,100.9,101,100.7,,108.1,111,,35128,8.1,29975,8.8,,,,,,,,,172731,,,,,,,1001.3,,905,1705.4,,1782.6,14.9,826.5,,780.2,1587.1,,1718,14.6,16.67,12.73,12.9,,,18.37,,,501781166,400465452,168045617,1013752,66863024,10865637
